Name,Codename,Cores,Clock,Socket,Process,L3 Cache,TDP,Released
"
Ryzen 5 2600
",Zen,6  / 12,3.4 to 3.9 GHz,Socket AM4,12 nm,16MB,65 W,"Apr 19th, 2018"
"
FX-6300
",Vishera,6 ,3.5 to 4.1 GHz,Socket AM3+,32 nm,8MB,95 W,"Oct 23rd, 2012"
"
Core i7-2600
",Sandy Bridge,4  / 8,3.4 to 3.8 GHz,Socket 1155,32 nm,8MB,95 W,"Jan 9th, 2011"
"
Core i9-11900K
",Rocket Lake,8  / 16,3.5 to 5.3 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021"
"
Ryzen 5 5500U
",Lucienne,6  / 12,2.1 to 4 GHz,Socket FP6,7 nm,8MB,25 W,"Jan 12th, 2021"
"
Ryzen 7 5800H
",Cezanne,8  / 16,3.2 to 4.4 GHz,Socket FP6,7 nm,16MB,54 W,"Jan 12th, 2021"
"
Core i3-10105F
",Comet Lake-R,4  / 8,3.7 to 4.4 GHz,Socket 1200,14 nm,6MB,65 W,"Mar 16th, 2021"
"
Ryzen 3 3200G
",Picasso,4 ,3.6 to 4 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019"
"
Core i5-3470
",Ivy Bridge,4 ,3.2 to 3.6 GHz,Socket 1155,22 nm,6MB,77 W,"Jun 1st, 2012"
"
Core i7-11700K
",Rocket Lake,8  / 16,3.6 to 5 GHz,Socket 1200,14 nm,16MB,125 W,"Mar 16th, 2021"
"
Athlon 3000G
",Zen,2  / 4,3.5 GHz,Socket AM4,14 nm,4MB,35 W,"Nov 20th, 2019"
"
Core i5-10400
",Comet Lake,6  / 12,2.9 to 4.3 GHz,Socket 1200,14 nm,12MB,65 W,"Apr 30th, 2020"
"
Ryzen 3 3100
",Matisse,4  / 8,3.6 to 3.9 GHz,Socket AM4,7 nm,16MB,65 W,"Apr 24th, 2020"
"
Core i7-3770
",Ivy Bridge,4  / 8,3.4 to 3.9 GHz,Socket 1155,22 nm,8MB,77 W,"Apr 29th, 2012"
"
Ryzen 5 3400G
",Picasso,4  / 8,3.7 to 4.2 GHz,Socket AM4,12 nm,4MB,65 W,"Jul 7th, 2019"
"
Athlon II X2 250
",Regor,2 ,3 GHz,Socket AM3,45 nm,N/A,65 W,"Jun 2nd, 2009"
"
Core i9-10900K
",Comet Lake,10  / 20,3.7 to 5.3 GHz,Socket 1200,14 nm,20MB,125 W,"Apr 30th, 2020"
"
Pentium G4400
",Skylake,2 ,3.3 GHz,Socket 1151,14 nm,4MB,51 W,"Sep 1st, 2015"
"
Core i7-10700K
",Comet Lake,8  / 16,3.8 to 5.1 GHz,Socket 1200,14 nm,16MB,125 W,"Apr 30th, 2020"
"
Ryzen 9 3900X
",Matisse,12  / 24,3.8 to 4.6 GHz,Socket AM4,7 nm,64MB,105 W,"Jul 7th, 2019"
"
Core i3-370M
",Arrandale,2  / 4,2.4 GHz,Socket G1,32 nm,3MB,35 W,"Jun 20th, 2010"
"
Ryzen 3 3250U
",Picasso,2  / 4,2.6 to 3.5 GHz,Socket FP5,12 nm,4MB,15 W,"Jan 6th, 2020"
